Target Pref Name,DLiP-ID,Informative Target Pref Name
BCL2-Like_BAX,I000MH,B2CL1/BAX
BCL2-Like_BAX,I000MH,BCL2/BAX
BCL2-Like_BAX,I000MI,
BCL2-Like_BAX,I000MR,B2CL2/BAX
BCL2-Like_BAX,I000MR,BCL2/BAX
BCL2-Like_BAX,I000MR,B2CL2/BAX
BCL2-Like_BAX,I000MR,BCL2/BAX
BCL2-Like_BAX,I000MS,
BCL2-Like_BAX,I000MT,
BCL2-Like_BAX,I000MU,B2CL1/BAX
BCL2-Like_BAX,I000MU,B2CL1/BAX
BCL2-Like_BAX,I000MU,BCL2/BAX
BCL2-Like_BAX,I000MU,BCL2/BAX
BCL2-Like_BAX,I000MV,BCL2/BAX
BCL2-Like_BAX,I000MV,BCL2/BAX
BCL2-Like_BAX,I000MY,
BCL2-Like_BAX,I000MZ,MCL1/BAX
BCL2-Like_BAX,I000MZ,MCL1/BAX
BCL2-Like_BAX,I000MZ,BCL2/BAX
BCL2-Like_BAX,I000MZ,BCL2/BAX
BCL2-Like_BAX,I000N9,
BCL2-Like_BAX,I000NA,MCL1/BAX
BCL2-Like_BAX,I000NA,MCL1/BAX
BCL2-Like_BAX,I000NA,BCL2/BAX
BCL2-Like_BAX,I000NA,BCL2/BAX
BCL2-Like_BAX,I000NC,B2CL2/BAX
BCL2-Like_BAX,I000NC,B2CL1/BAX
BCL2-Like_BAX,I000NC,B2CL1/BAX
BCL2-Like_BAX,I000NC,B2CL2/BAX
BCL2-Like_BAX,I000NC,BCL2/BAX
BCL2-Like_BAX,I000NC,BCL2/BAX
BCL2-Like_BAX,I000ND,
BCL2-Like_BAX,I000NE,
BCL2-Like_BAX,I000NF,MCL1/BAX
BCL2-Like_BAX,I000NF,BCL2/BAX
BCL2-Like_BAX,I000NF,MCL1/BAX
BCL2-Like_BAX,I000NF,BCL2/BAX
BCL2-Like_BAX,I000NG,
BCL2-Like_BAX,I000NJ,BCL2/BAX
BCL2-Like_BAX,I000NJ,BCL2/BAX
BCL2-Like_BAX,I000NK,
BCL2-Like_BAX,I000NL,BCL2/BAX
BCL2-Like_BAX,I000NL,BCL2/BAX
BCL2-Like_BAX,I000NL,B2CL1/BAX
BCL2-Like_BAX,I000NL,B2CL1/BAX
BCL2-Like_BAX,I000NQ,MCL1/BAX
BCL2-Like_BAX,I000NQ,MCL1/BAX
BCL2-Like_BAX,I000NQ,BCL2/BAX
BCL2-Like_BAX,I000NQ,BCL2/BAX
BCL2-Like_BAX,I000NR,
BCL2-Like_BAX,I000NY,BCL2/BAX
BCL2-Like_BAX,I000NY,BCL2/BAX
BCL2-Like_BAX,I000O8,BCL2/BAX
BCL2-Like_BAX,I000O8,BCL2/BAX
BCL2-Like_BAX,I000OH,BCL2/BAX
BCL2-Like_BAX,I000OH,BCL2/BAX
BCL2-Like_BAX,I000OO,B2CL2/BAX
BCL2-Like_BAX,I000OO,B2CL2/BAX
BCL2-Like_BAX,I000OP,BCL2/BAX
BCL2-Like_BAX,I000OP,BCL2/BAX
BCL2-Like_BAX,I000OQ,BCL2/BAX
BCL2-Like_BAX,I000OQ,BCL2/BAX
BCL2-Like_BAX,I000P5,
BCL2-Like_BAX,I000P6,BCL2/BAX
BCL2-Like_BAX,I000P6,B2CL2/BAX
BCL2-Like_BAX,I000P6,B2CL2/BAX
BCL2-Like_BAX,I000P6,BCL2/BAX
BCL2-Like_BAX,I000PQ,MCL1/BAX
BCL2-Like_BAX,I000PQ,MCL1/BAX
BCL2-Like_BAX,I000PQ,BCL2/BAX
BCL2-Like_BAX,I000PQ,BCL2/BAX
BCL2-Like_BAX,I000P7,B2CL1/BAX
BCL2-Like_BAX,I000P7,BCL2/BAX
BCL2-Like_BAX,I000P7,B2CL1/BAX
BCL2-Like_BAX,I000P7,BCL2/BAX
BCL2-Like_BAX,I000P8,
BCL2-Like_BAX,I000PE,BCL2/BAX
BCL2-Like_BAX,I000PE,BCL2/BAX
